"Sample_ID","lat_N","lon_E","Nutricline_1uM_Interp","Phosphate_surfBottle","Silicate_surfBottle","Nitrate_NitriteBottle","CTD_salinity","Temp_SST","Cruise","Metagenome_Sample_ID","Omega_P","Omega_N","Omega_Fe"
"A392013_008_nifH",55.003817,-48.998083,NA,NA,NA,NA,NA,10.385,"AE1319",NA,NA,NA,NA
"A392013_041_nifH",52.996017,-45.995183,NA,NA,NA,0.7,NA,11.765,"AE1319","A392013_041_META",-0.204661331,-0.680641479,1.133984317
"A392013_044_nifH",52.996017,-45.995183,NA,NA,NA,0.8,NA,11.674,"AE1319",NA,NA,NA,NA
"A392013_082_nifH",50.99985,-43.000517,NA,NA,NA,0,NA,13.354,"AE1319",NA,NA,NA,NA
"A392013_084_nifH",50.99985,-43.000517,NA,NA,NA,0,NA,13.095,"AE1319",NA,NA,NA,NA
"A392013_105_nifH",49.001717,-40.002817,NA,NA,NA,0,NA,15.58,"AE1319","A392013_105_META",1.088925797,-0.763336096,0.243104458
"A392013_138_nifH",47.00085,-42.502167,127.3,NA,NA,0,NA,18.337,"AE1319","A392013_138_META",1.76355214,-1.06796891,-0.47488772
"A392013_192_nifH",44.993283,-45.002433,145,NA,NA,NA,NA,18.518,"AE1319","A392013_192_META",1.300281683,-1.06453184,0.106211053
"A392013_225_nifH",43.001683,-47.498533,137,NA,NA,0,NA,19.357,"AE1319","A392013_225_META",1.170977433,-0.933705777,-0.487523275
"A392013_227_nifH",43.001683,-47.498533,NA,NA,NA,0,NA,10.715,"AE1319",NA,NA,NA,NA
"A392013_247_nifH",41.00175,-50.0005,NA,NA,NA,0,NA,23.741,"AE1319","A392013_247_META",2.213669421,-0.830778478,-0.643545574
"A392013_269_nifH",39.000717,-52.50055,NA,NA,NA,0,NA,26.285,"AE1319","A392013_269_META",1.249579211,-0.125880048,-0.632225722
"A392013_303_nifH",37.004517,-55.001833,NA,NA,NA,0,NA,26.995,"AE1319","A392013_303_META",1.66162272,0.336664216,-0.655666532
"A392013_325_nifH",35.000617,-57.5049,NA,NA,NA,0,NA,26.634,"AE1319","A392013_325_META",1.29763305,0.097048714,-0.680505112
"A392013_360_nifH",33.00055,-60.0001,NA,NA,NA,0,NA,27.517,"AE1319","A392013_360_META",1.430889147,0.015288693,-0.626818569
"A392013_424_nifH",31.668033,-64.171533,NA,NA,NA,0,NA,27.857,"AE1319","A392013_424_META",1.431400037,-0.189365207,-0.642907186
"AMT2018_001_nifH",49.6381,-5.5016,NA,NA,NA,NA,35.19056049,15.13,"AMT28",NA,NA,NA,NA
"AMT2018_003_nifH",48.46938333,-8.83655,40.38,0.1,0.21,0.34,35.45258877,16.36,"AMT28","AMT2018_003_META",-0.557352225,-0.781074236,1.897521481
"AMT2018_005_nifH",47.90123333,-10.3814,41.09,0.12,0.29,0.52,35.58707099,16.96,"AMT28","AMT2018_005_META",-0.367689274,-0.947295831,1.022419377
"AMT2018_007_nifH",46.02908333,-12.73251667,60.14,0.04,0.06,0,35.72191964,18.9,"AMT28","AMT2018_007_META",-0.567043961,-1.181497795,0.393202452
"AMT2018_009_nifH",44.96505,-13.59395,43.07,0.05,0.13,0.04,35.755631,19.22,"AMT28","AMT2018_009_META",-0.287486091,-1.168529377,0.113319897
"AMT2018_011_nifH",42.96703333,-15.21306667,53.09,0.11,0.29,0,35.79322861,19.92,"AMT28","AMT2018_011_META",-0.363736736,-1.200205956,0.409825919
"AMT2018_013_nifH",41.9084,-16.0483,53.54,0,0.43,0,35.88358795,20.67,"AMT28","AMT2018_013_META",-0.160505131,-1.153196214,-0.128743762
"AMT2018_015_nifH",39.71933333,-17.71615,72.49,0,0.09,0,36.0804881,21.96,"AMT28","AMT2018_015_META",0.260539979,-0.998569199,-0.241981033
"AMT2018_017_nifH",38.49585,-18.62668333,71.02,0.05,0.4,0,36.4058378,22.97,"AMT28","AMT2018_017_META",0.569030526,-0.895371644,-0.464525847
"AMT2018_019_nifH",36.41391667,-20.12145,127.49,0,0.22,0,36.52782492,23.23,"AMT28","AMT2018_019_META",0.793639286,-0.724367529,-0.619667086
"AMT2018_021_nifH",35.28273333,-20.92343333,113.35,0.04,0.11,0,36.68305811,23.55,"AMT28","AMT2018_021_META",1.012876452,-0.660993528,-0.58065158
"AMT2018_023_nifH",33.04688333,-22.1368,93.05,0,0.25,0,36.70414013,24.28,"AMT28","AMT2018_023_META",1.523907683,0.601803817,-0.621720889
"AMT2018_025_nifH",31.85743333,-22.71018333,93.28,0,0.24,0,36.76271867,24.29,"AMT28","AMT2018_025_META",2.007172907,1.132226679,-0.688957174
"AMT2018_027_nifH",29.48831667,-23.93245,132.53,0,0.32,0,37.02938584,24.96,"AMT28","AMT2018_027_META",1.766681831,1.34333807,-0.704661642
"AMT2018_029_nifH",28.60906667,-24.36085,147.09,0,0.42,0,37.41679849,26.19,"AMT28","AMT2018_029_META",2.08051634,1.657383896,-0.677929292
"AMT2018_031_nifH",26.20376667,-25.52105,134.82,0,0.31,0,37.26319907,25.19,"AMT28","AMT2018_031_META",1.064504027,0.043211347,-0.673539689
"AMT2018_033_nifH",25.17896667,-26.00586667,158.12,0,0.3,0,37.32638215,25.48,"AMT28","AMT2018_033_META",1.371444325,0.256544105,-0.686708727
"AMT2018_035_nifH",22.59966667,-27.21345,117.03,0,0.34,0,37.08015289,25.81,"AMT28","AMT2018_035_META",0.532898188,-0.246049884,-0.670495926
"AMT2018_037_nifH",21.44625,-27.74026667,134.58,0,0.14,0,37.08992147,26.12,"AMT28","AMT2018_037_META",0.21043325,-0.492911563,-0.670877115
"AMT2018_039_nifH",19.07776667,-28.81673333,90.95,0,0.13,0,36.79008828,26.2,"AMT28","AMT2018_039_META",0.108931783,-0.673265255,-0.639442581
"AMT2018_041_nifH",17.74185,-28.92988333,60.15,0,0.52,0,36.50847633,26.78,"AMT28","AMT2018_041_META",0.233854057,-0.942218461,-0.556813071
"AMT2018_043_nifH",15.07608333,-28.61265,38.22,0,0.75,0,36.32140077,27.08,"AMT28","AMT2018_043_META",0.420500279,-0.974693775,-0.537369123
"AMT2018_045_nifH",13.81176667,-28.29376667,50.55,0,0.58,0,36.26481773,27.85,"AMT28","AMT2018_045_META",1.127724688,-0.556683921,-0.572401815
"AMT2018_047_nifH",11.44701667,-27.70903333,31.29,0,0.52,0,35.89296865,28.1,"AMT28","AMT2018_047_META",0.677776294,-0.923886701,-0.49585287
"AMT2018_049_nifH",10.06433333,-27.28305,35.08,0,0.6,0,35.90004237,28.83,"AMT28","AMT2018_049_META",1.281410016,-0.463291518,-0.553169262
"AMT2018_051_nifH",7.471266667,-26.65008333,56.01,0,0.88,0,34.98537173,28.77,"AMT28","AMT2018_051_META",1.409582917,0.229376929,-0.470551932
"AMT2018_053_nifH",6.25555,-26.38115,89.9,0,0.97,0,34.92458291,28.7,"AMT28","AMT2018_053_META",1.408803659,0.117038445,-0.397150153
"AMT2018_055_nifH",3.80775,-25.8358,68.58,0,1.26,0,35.26951158,28.43,"AMT28","AMT2018_055_META",1.36165815,0.63293267,-0.309743715
"AMT2018_057_nifH",0.001733333,-24.99303333,55.64,0,1.69,0,35.95522021,26.71,"AMT28","AMT2018_057_META",0.775447886,0.542477363,-0.12379599
"AMT2018_059_nifH",-1.150416667,-24.98205,72.55,0,1.44,0.07,35.99717831,26.96,"AMT28","AMT2018_059_META",0.577935659,0.587223512,0.269646376
"AMT2018_061_nifH",-3.689,-24.97953333,54.12,0,1.19,0,36.17716234,26.51,"AMT28","AMT2018_061_META",-0.345224604,0.008468004,1.831953523
"AMT2018_063_nifH",-4.9847,-24.9729,88.97,0,1.72,0.06,36.08528728,26.35,"AMT28","AMT2018_063_META",-0.326857322,-0.071743873,1.235932765
"AMT2018_065_nifH",-7.548566667,-24.95865,110.38,0,1.49,0.08,36.25024218,26.11,"AMT28","AMT2018_065_META",-0.267620741,0.188214054,1.416305324
