"stn","Cruise","CTD","depth_m","Month","Day","Year","LatitudeDegN","LongitudeDegE","AmpliconTotal","Trichodesmium","UCYN_A","UCYN_BC","Other_Cyano","MG1","Other_GammaProt","C3a","C1d","DeltaProt","AlphaProt","Bradyrhizobium","VNF_methylomo.9999s","Other","MetaTotal","Trichodesmium.1","UCYN_A.1","UCYN_BC.1","Other_Cyano.1","MG1.1","Other_GammaProt.1","C3a.1","C1d.1","DeltaProt.1","AlphaProt.1","Bradyrhizobium.1","VNF_methylomo.9999s.1","Other.1"
"AE008","AE1319",1,1,8,26,2013,55.00382,-48.99808,54,0,16,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE041","AE1319",1,1,8,27,2013,52.99602,-45.99518,143,0,76,0,0,0,0,0,0,0,0,0,0,67,63,0,0,0,0,0,63,0,0,0,0,0,0,0
"AE044","AE1319",1,25,8,27,2013,52.99602,-45.99518,649,0,0,0,0,0,0,636,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE082","AE1319",1,5,8,28,2013,50.99985,-43.00052,81874,36,80960,0,0,0,0,0,0,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE084","AE1319",1,25,8,28,2013,50.99985,-43.00052,1127,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE105","AE1319",1,5,8,29,2013,49.00172,-40.00282,37030,0,37030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE138","AE1319",1,5,8,30,2013,47.00085,-42.50217,67648,0,67507,0,141,0,0,0,0,0,0,0,0,0,3528,0,3024,0,504,0,0,0,0,0,0,0,0,0
"AE192","AE1319",1,5,8,31,2013,44.99328,-45.00243,13929,0,13929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE225","AE1319",1,5,9,1,2013,43.00168,-47.49853,114347,0,114347,0,0,0,0,0,0,0,0,0,0,0,126,0,126,0,0,0,0,0,0,0,0,0,0,0
"AE227","AE1319",1,25,9,1,2013,43.00168,-47.49853,67262,0,67205,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
